,Estado,FechasFechaPublicacion,Nombre,CompradorNombreOrganismo,CompradorCodigoOrganismo,AdjudicacionUrlActa,CodigoExterno
1269,Desierta o art 3 o 9 Ley 19 886,2016-11-17T12:37:32.343,SUM INS NEURONAVEGADOR ANO 2017 Y 2018,Hospital Regional Rancagua HRR,7374,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=rui6VFAFuXSjxWYevOOEuegwyZDVC03oOGQnLsHbnvg=,2080-416-LE16
865,Desierta o art 3 o 9 Ley 19 886,2016-11-17T12:57:54.22,SERVICIOS DE PROFESIONAL MEDICO ANESTESISTA,Hospital Guillermo Grant Benavente,7324,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=xO612T2RRImsjfsyGhemaeMMKGLrub2vdk9jFtPDcPc=,1667-120-LE16
5205,Desierta o art 3 o 9 Ley 19 886,2016-11-17T14:20:46.46,CONS STGO CENTRO SOLIC DE ADQ N16 INS QUIRUR,Fuerza Aerea de Chile,6946,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=eGoVZM+8bTf/SeU0j4i8YuAyQiD02qXMCEguHgghEao=,750775-65-L116
106,Desierta o art 3 o 9 Ley 19 886,2016-11-17T15:07:04.923,ADQUISICION CALZADO DE TERRENO TREKKING MEDIA MONT,Direccion de Obras Portuarias MOPTT,7246,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=38wMgmUsy6ooslLGnTxewbTpqWsOVsGAsityWXng0bo=,1272-12-L116
1262,Desierta o art 3 o 9 Ley 19 886,2016-11-17T15:11:32.29,SUM MONITOREO Y REGULACION INTRACRANEANA ANO 2017,Hospital Regional Rancagua HRR,7374,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ScJ5du/DlYB+sVjKqHj8cmgCw2mhnIJ9TCmEyL9rj98=,2080-408-LP16
2475,Desierta o art 3 o 9 Ley 19 886,2016-11-08T11:01:07.777,PTR N 181 BANDERAS PARA EL CESFAM,MUNICIPALIDAD DE VITACURA,98462,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=aOj1bgz3oWLX68ktbDVRV97TkN6jV1sU9vfKTf6b05I=,2669-174-L116
2481,Desierta o art 3 o 9 Ley 19 886,2016-11-17T15:18:42.177,PTR N 181 BANDERAS PARA EL CESFAM,MUNICIPALIDAD DE VITACURA,98462,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Orp7aoskG+Ge3N9A/i7lS9uamf9tcJo9A4HzwCrt+ik=,2669-183-L116
4542,Desierta o art 3 o 9 Ley 19 886,2016-11-17T15:20:50.777,CONVENIO INSUMOS DE DESINFECCION DE ALTO NIVEL ENDOSCOPIO,Hospital Talca,7260,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=pAfnAtsiYIjlIkqqGy0aixh/rz/HniUlewdpDNe7epQ=,5051-86-LQ16
4426,Desierta o art 3 o 9 Ley 19 886,2016-11-17T15:23:51.97,CONV ALTAS INTEGRALES ODONTOLOGICAS PRAIS SSAN,Servicio de Salud Araucania Norte,7302,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=wv1ijZbU2mLrXHY86jsAr30otoGgNzZQJk+IE9rnbFI=,4837-2-LE16
1815,Desierta o art 3 o 9 Ley 19 886,2016-11-17T15:57:58.913,Adquisicion de carros para H C S B A,Hospital Clinico San Borja Arriaran,7326,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=n2D5ycptZVRL7Z0MEwZVjAeK0bJRFGU6pHLMkO5XDRE=,2312-189-L116
5194,Desierta o art 3 o 9 Ley 19 886,2016-11-17T16:32:53.92,Manguera y guantes Des Ambiental,I MUNICIPALIDAD DE LO ESPEJO,86518,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ol3UG0DOxhf2kdGq31bCFV4ttTJ2PS1vZ2HR8kP3AMQ=,744835-845-L116
1876,Desierta o art 3 o 9 Ley 19 886,2016-11-17T16:34:14.183,SP 1611 1614 1616/ DIDECO/PES/ADQ 4267 4268 4269/MATERIALES DE CONSTRUCCION,ILUSTRE MUNICIPALIDAD DE SAN BERNARDO,86548,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=mM7fuJtBj7nM6mC6mIb1FDeE8HyC0YO6lTcHD/gv474=,2341-630-L116
205,Desierta o art 3 o 9 Ley 19 886,2016-11-17T16:54:44.083,Traslado terrestre Maritimo de vehiculo Autoextintor Oshkosh tramo Puerto Montt Punta Arenas,Direccion General de Aeronautica Civil,7202,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=yRz3rDCJo7EfocslN7c89W7eH+d4+6A3bDH7WCgUHjw=,1409-78-L116
3457,Desierta o art 3 o 9 Ley 19 886,2016-11-17T17:01:50.16,Programa Resolutividad 2016,Municipalidad de Portezuelo,115299,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Oat0O0JovMKqOJoPlgdrtk0LXIzFzd5+776M5cCbmmw=,3600-15-L116
1877,Desierta o art 3 o 9 Ley 19 886,2016-11-17T17:16:41.22,SP 1617 1618 1619 1620/DIDECO/PES/ADQ 4270 4271 4272 4273/ARTICULOS DE PELUQUERIA,ILUSTRE MUNICIPALIDAD DE SAN BERNARDO,86548,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=5i9dzT6RpB7aI0HO3XAgrgSMciS7ZpNn90DaPzeKl4k=,2341-631-L116
215,Desierta o art 3 o 9 Ley 19 886,2016-11-17T18:15:00,DIRREG REQUIERE SUMINISTRO DE COMBUSTIBLES 2017,Gendarmeria de Chile,6925,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=T3+c/P/6QGxL8T/UlWUp3dyTfY8DjaZAe6ELuWDFxpc=,1413-114-L116
2418,Desierta o art 3 o 9 Ley 19 886,2016-11-18T08:35:24.763,ADQ MATERIALES DE OFICINA ORD 3024/16 ACOMPANAMIENTO PSICOSOCIAL DIDECO JCHD IMA,ILUSTRE MUNICIPALIDAD DE ARICA,86624,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=UCWjc2U6LXCc4znHv0Qd6etcHh6cpj05lbFD68roNY8=,2585-450-L116
1043,Desierta o art 3 o 9 Ley 19 886,2016-11-18T09:38:02.11,Homogenizador y Herramientas,Ministerio de Salud MINSAL,7079,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=xs5TSHjmB8diH7EkaUbXT3f+XTzjnaD3Xfqrxbzu73E=,1746-155-L116
3806,Desierta o art 3 o 9 Ley 19 886,2016-11-18T10:07:02.96,UN TOLDO PLEGABLE COCINA DE ACERO INOXIDABLE Y BATIDORA PEDESTAL,Ilustre Municipalidad de Curarrehue,118093,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=aRirEmPlLD8PmL5z5a5ZwK5GKyBNoDJo20zVJCMiL60=,3938-91-L116
5447,Desierta o art 3 o 9 Ley 19 886,2016-11-18T10:07:28.827,EQUIPO ECOGRAFIAS TRANSVAGINALES 2 LLAMADO,Complejo Asistencial Dr Victor Rios Ruiz,7375,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=TvCDkxJE2WalJR3EbCSPZ3R0EhW4ndGOcBDd4aLSM+8=,930206-17-LE16
3807,Desierta o art 3 o 9 Ley 19 886,2016-11-18T10:30:34.293,ADQUISICION DE UNA AMASADORA Y UN MUEBLE COCINA,Ilustre Municipalidad de Curarrehue,118093,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=CwsmxWH+Wdyr9eBA6FcQaFJ4zof24QQ1XsMHyqW2FQM=,3938-92-L116
3383,Desierta o art 3 o 9 Ley 19 886,2016-11-09T11:58:45.467,Materiales e insumos para campamento 061 062,Ejercito de Chile,111870,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=5yX0XHERnDTuvnLB7Z0fJjgrApDtdAWXzBVPp8ITRII=,3540-281-L116
3385,Desierta o art 3 o 9 Ley 19 886,2016-11-18T10:43:31.45,Materiales e insumos para campamento 061 062,Ejercito de Chile,111870,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=BYOOhE9AxtsAsUrmrmZVZ2YYCU0RnspORPmxaMWUbzM=,3540-283-L116
1039,Desierta o art 3 o 9 Ley 19 886,2016-11-18T10:47:37.797,ROLLOS MATTE BRILLANTE Y OTROS COMUNICACIONES,Ilustre Municipalidad de San Miguel,7498,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=T/XIpvjXG5VrGPotEFGiVkAaGifiXGKpzPeJTACeeH4=,1741-443-L116
2409,Desierta o art 3 o 9 Ley 19 886,2016-11-18T11:33:35.983,ADQ MATERIAL DE FERRETERIA DAO MM N 289 401/16 LSV IMA,ILUSTRE MUNICIPALIDAD DE ARICA,86624,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=c9lE76Dh1uimyeIhzIj2b+PML/zE2EKYcmDQsAORYLk=,2585-413-L116
1283,Desierta o art 3 o 9 Ley 19 886,2016-11-18T11:41:36.293,PROYECTO MEL PREV RIESGOS,Hospital Tocopilla,7385,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=mLhDqQbRQ3+cj5KyUrcEAPdXYhSAjZ10Zf+cQMdY9cQ=,2086-180-L116
1462,Desierta o art 3 o 9 Ley 19 886,2016-11-18T12:06:10.61,ADQUISICION DE MOBILIARIO DE ESTERILIZACION,Ilustre Municipalidad de San Joaquin,7135,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=7AIuHhaaC0u5wZNnk6DpVXPEGDZkX/6pjGyMuqfecXQ=,218-159-L116
2115,Desierta o art 3 o 9 Ley 19 886,2016-11-18T12:07:06.39,SERVICIO TRASLADO PARA VIAJE PEDAGOGICO ALUMNOS ESCUELA CHACAYAL SUR,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=WDQR81lRkEIic/2BeqC8Y/8M7pEC+H1kykg3Y8Fcwr0=,2409-879-L116
1660,Desierta o art 3 o 9 Ley 19 886,2016-11-18T12:21:17.513,ALIMENTOS D C 2000 2982 SFR,I MUNICIPALIDAD DE LA PINTANA,83825,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=3x2ZXC8dw63WIHQ7/N3Acbxi/4r9k/zfmUoMyRjN/Qg=,2273-1102-L116
2687,Desierta o art 3 o 9 Ley 19 886,2016-11-18T12:59:58.78,MANTENCION DE SEMAFOROS Y OTROS EQUIPOS LUMINOSOS,Ilustre Municipalidad de La Cisterna,100488,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=oylqcLr+wY3ftrnX1m+5aErdSGWxI11CCf7nJQsgVmk=,2767-41-LQ16
1728,Desierta o art 3 o 9 Ley 19 886,2016-11-18T13:32:42.857,ADQUISICION DE INSUMOS TALLER DE MANTENCION,I MUNICIPALIDAD DE VALDIVIA,84152,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=DiiWSRaguai8aoNZjptYvdlObGHL1hq5O3bjQMoapE8=,2281-533-L116
2601,Desierta o art 3 o 9 Ley 19 886,2016-11-18T13:34:53.33,ADQUISICION DE DATAS Y NOTEBOOKS USO ESCUELA 664 MALLOCO,MUNICIPALIDAD DE PENAFLOR,100137,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=eGoOjECP6US6NuP2ZOrHTWhhjX4DA1VfERG43GqsLiY=,2733-400-L116
1136,Desierta o art 3 o 9 Ley 19 886,2016-11-18T13:39:06.62,Servicios y Prestaciones de Salud,CRS de Penalolen Cordillera Oriente,7136,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=3p6Meux3Pe/h07V+eH7OKdncSiK/kKVG7XcqGR3XAFE=,1973-92-LP16
1661,Desierta o art 3 o 9 Ley 19 886,2016-11-18T13:40:00,MATERIALES DE OFICINA D C 2000 3007 SFR,I MUNICIPALIDAD DE LA PINTANA,83825,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=gRDqr0XFbV8XRmxmODNZyjxbqC968A9BaeQFR/yUguI=,2273-1104-L116
2334,Desierta o art 3 o 9 Ley 19 886,2016-11-18T14:08:00,SEGURO VIDA COMPLEMENTARIO SALUD Y CATASTROFICO,Municipalidad de Providencia,88102,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Yz9+gYL3apSNLzq24Ebc/V4U7giIOQSgqSEQk9XM6bs=,2490-74-LR16
4629,Desierta o art 3 o 9 Ley 19 886,2016-11-18T15:52:57.9,Adquisicion de muebles artefactos para Municipio,Ilustre Municipalidad de Timaukel,224045,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=BmSItO9GJVvUs0McVSik+7E+VG3cqJxZwduQjWQI12A=,5147-45-L116
2226,Desierta o art 3 o 9 Ley 19 886,2016-11-18T15:54:19.817,ADQUISICION DE MATERIALES PARA TALLER DE CONFECCION ARTESANIAS,ILUSTRE MUNICIPALIDAD DE LA SERENA,87976,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=IePp6wXvAlzVA0ZFyQN4H7sf49QAae2QfQRW9xwWN2k=,2450-878-L116
2469,Desierta o art 3 o 9 Ley 19 886,2016-11-18T16:13:13.273,ENLACES DE COMUNICACION MODULOS PCV,MUNICIPALIDAD DE VITACURA,98462,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=SXGYnDUALZC89PFQwKe8FAqD7WolppudfS7GnXyZM20=,2667-93-H216
128,Desierta o art 3 o 9 Ley 19 886,2016-11-18T16:28:24.837,COMPRA DE ALIMENTOS PARA CERTIFICACIONES DEL C E T,Gendarmeria de Chile,6925,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=z1xe/R2RO3eD4hrpjuzHBq6+Ai8kIfQT6TftHGk+Nok=,1376-184-L116
2415,Desierta o art 3 o 9 Ley 19 886,2016-11-18T16:38:05.96,ADQ PRODUCTOS ELECTRICOS PARA SEMAFOROS MEMO N 205 380 DMAO CVG IMA,ILUSTRE MUNICIPALIDAD DE ARICA,86624,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=lTnLtAt0roIInKP5PLeT/w2QyfzHIHJf71v8atcKFjY=,2585-442-LE16
5093,Desierta o art 3 o 9 Ley 19 886,2016-11-18T16:43:22.27,EQUIPOS DE MEDICION CONSTRUCTIVO TOPOGRAFICO Y ELE,SERVIU VIII Region,6979,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=2tnGzkFrzDFp7ShfOSt0nNtYLK7bBoern28PzlvG1+U=,654-33-L116
3916,Desierta o art 3 o 9 Ley 19 886,2016-11-18T17:08:53.077,Adquisicion del Servicio de coctel para ceremonias de Cambio de Mando Alcaldia y Aniversario de la Comuna Antuco,ILUSTRE MUNICIPALIDAD DE ANTUCO,119484,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=A2bgsUlk0kVsr2s0ZE9dp4MYEUgV33iFDXp7jEMD3dk=,4027-50-L116
4056,Desierta o art 3 o 9 Ley 19 886,2016-11-18T17:23:37.883,ADQUISICION DE BICICLETAS PARA AREA EXTRAESCOLAR,Ilustre Municipalidad de Curanilahue,127036,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=R6JySN9GELXQECsHwABZO99uxzBNoZ+fTNY2kYUw1Js=,4239-91-LE16
2843,Desierta o art 3 o 9 Ley 19 886,2016-11-18T22:37:26.067,ADQUISICION DE PLACAS DE IDENTIFICACION PARA CADETES,ARMADA DE CHILE,111875,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=BjXhv4//9XQILHEUklVvqPFeer+ND0ryGo1V1Nky5lg=,2950-126-L116
5200,Desierta o art 3 o 9 Ley 19 886,2016-11-21T07:55:14.53,EQUIPO OSMOSIS INVERSA,UNIVERSIDAD ARTURO PRAT SEDE IQUIQUE,7254,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=26NndNQjIbpRVkL+oFChQgjWmV1iQLZNZF3ZQ9CwWvU=,747064-28-L116
5296,Desierta o art 3 o 9 Ley 19 886,2016-11-21T09:18:00,SUMINISTRO DE KETOPROFENO 100 MG EV DEXMEDETOMIDINA 100UG,Hospital Clinico San Borja Arriaran,7326,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=od/NypoJhSsNjSsXizM5QEz/FhkeCF8GRxZ4FtxqWdQ=,831756-151-LE16
1928,Desierta o art 3 o 9 Ley 19 886,2016-11-21T10:44:58.647,CONFECCION DE GRADERIAS Y TARIMAS PARA LA ESCUELA ESPANA,ILUSTRE MUNICIPALIDAD DE ARICA,86624,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=lFCOtq3H4HoC3RKjAtCwMVHq8hIYB9+KPCUnJKf2mUo=,2367-307-L116
2951,Desierta o art 3 o 9 Ley 19 886,2016-11-21T10:47:37.77,MATERIALES PROY 924 PMU E MEJORAMIENTO AREAS VEDES SECTOR CANTERA 2 LOTA,MUNICIPALIDAD DE LOTA,113259,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=uvojLeJCJ0GsFGCuBXXOyJUn1h+RU/nO2BUmXBRPTM8=,3017-862-L116
1566,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:08:03.467,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=EUVzTlXH2InYMIXCwbjkmqhllALcp00Q/iTMOQpUTKY=,2207-375-L116
1567,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:34:59.193,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=E3ntm6rtVOgN2q1dw94g7c5SylJ8JOGemNzeQq9cjhk=,2207-376-L116
1568,Desierta o art 3 o 9 Ley 19 886,2016-11-21T12:12:02.457,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=iEO3+QYxQm/rEMQ/08uq6rKqF+ph+Ve9FijEzhwNEUE=,2207-377-L116
1573,Adjudicada,2016-11-21T16:33:22.413,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=5N2oRyIo6CatrQavxyecGF+8cvJwwz4lQrZ1tTb6soQ=,2207-382-L116
1574,Desierta o art 3 o 9 Ley 19 886,2016-11-21T17:00:22.837,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=0JMqECqntv3SVEi0X23DweLeaMFmkT1uRo3JEXniyWw=,2207-383-L116
3473,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:08:26.52,Redaccion edicion e impresion diario escolar,Ilustre Municipalidad de Vicuna,115303,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=BLQp+fLCmNBPAR3k1eEBMAxgXmHZ1b6JrhNEq7b1Irs=,3613-35-L116
5273,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:29:01.773,ADQUISICION DE TARJETAS ELECTRONICAS F C S,universidad de atacama,103916,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=04Mdu3cTsUHebTgmX3KR+z0ASCRI7huuJDqxTPQtC+E=,810406-5-L116
1566,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:08:03.467,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=EUVzTlXH2InYMIXCwbjkmqhllALcp00Q/iTMOQpUTKY=,2207-375-L116
1567,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:34:59.193,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=E3ntm6rtVOgN2q1dw94g7c5SylJ8JOGemNzeQq9cjhk=,2207-376-L116
1568,Desierta o art 3 o 9 Ley 19 886,2016-11-21T12:12:02.457,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=iEO3+QYxQm/rEMQ/08uq6rKqF+ph+Ve9FijEzhwNEUE=,2207-377-L116
1573,Adjudicada,2016-11-21T16:33:22.413,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=5N2oRyIo6CatrQavxyecGF+8cvJwwz4lQrZ1tTb6soQ=,2207-382-L116
1574,Desierta o art 3 o 9 Ley 19 886,2016-11-21T17:00:22.837,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=0JMqECqntv3SVEi0X23DweLeaMFmkT1uRo3JEXniyWw=,2207-383-L116
207,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:50:00,CPF ANTOFAGASTA SERVICIO DE SALA CUNA FUNCIONARIA,Gendarmeria de Chile,6925,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=f5+MlyDo6QAgV0wLEnyjWLaQ77f0KUGxefKP2vZUrvE=,1410-105-L116
2141,Desierta o art 3 o 9 Ley 19 886,2016-11-21T12:04:03.643,MATERIAL CLINICO,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=suMM3lqL8OE7lQ3J3m63wxYIAWgSBM9ZbD47DmsbAq8=,2410-270-L116
1566,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:08:03.467,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=EUVzTlXH2InYMIXCwbjkmqhllALcp00Q/iTMOQpUTKY=,2207-375-L116
1567,Desierta o art 3 o 9 Ley 19 886,2016-11-21T11:34:59.193,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=E3ntm6rtVOgN2q1dw94g7c5SylJ8JOGemNzeQq9cjhk=,2207-376-L116
1568,Desierta o art 3 o 9 Ley 19 886,2016-11-21T12:12:02.457,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=iEO3+QYxQm/rEMQ/08uq6rKqF+ph+Ve9FijEzhwNEUE=,2207-377-L116
1573,Adjudicada,2016-11-21T16:33:22.413,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=5N2oRyIo6CatrQavxyecGF+8cvJwwz4lQrZ1tTb6soQ=,2207-382-L116
1574,Desierta o art 3 o 9 Ley 19 886,2016-11-21T17:00:22.837,INSUMOS CARDIOVASCULAR,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=0JMqECqntv3SVEi0X23DweLeaMFmkT1uRo3JEXniyWw=,2207-383-L116
2291,Desierta o art 3 o 9 Ley 19 886,2016-11-21T12:20:38.83,ADQUISICION DE EQUIPAMIENTO DENTAL,MUNICIPALIDAD DE SANTIAGO,86568,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=n3saIQwxs/lDv+XzuZIaDjt4O8AFVuPmrIiFRxVMqU0=,2452-591-L116
4487,Desierta o art 3 o 9 Ley 19 886,2016-11-21T12:37:50.91,10 talleres Cecrea vera 2016 2017,Consejo Nacional de la Cultura y las Artes,7359,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=dyVWMtQWYc4fzHiRukUJgeGsqM9OkFQNBqrhYlhONB4=,4879-41-L116
1552,Adjudicada,2016-11-15T10:40:58.623,INSUMOS SALUD MENTAL,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=wiPtsBAp4ux/kHzhXxORoz+MQzptWu2WBrIjc627Olk=,2207-358-L116
1569,Adjudicada,2016-11-21T12:25:46.467,INSUMOS SALUD MENTAL,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=TPP6dLLtcjFsGdCycviAxmMCnYgN1Xe6H80qhoT3qnY=,2207-378-L116
1570,Desierta o art 3 o 9 Ley 19 886,2016-11-21T12:49:07.593,INSUMOS SALUD MENTAL,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=adHhYcqpD7X+WZJrvvdZfImGmjT0z4tDKyAWAaVj9Yg=,2207-379-L116
1571,Adjudicada,2016-11-21T14:39:20.503,INSUMOS SALUD MENTAL,Hospital Pichilemu,7436,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=14B8oKZ+f15BrP3I+OsV/ba16mKQ69Ntaen8fjvCyFE=,2207-380-L116
